事件ID,Type,NPC模型,Title,描述,饱足度消耗,消耗物品,消耗资源,消耗数量,奖励ID队列,事件需要时间,通关公告描述,最大通关通知人数
1,1,1103,命运的召唤,我想你就是传说中的勇者，为了寻找世界的未来而来到这里。试试你的身手吧。如果你无法通过考验，命运就不会选择你。,0,0,0,5001,50201;50587,7,,0
2,1,1106,被围困的村民,不远处有一个人影，她正被狼群攻击。天哪！看样子她需要帮助。,0,0,0,5002,50578;50202,16,,0
3,4,1106,贤者的指引,我叫阿曼达，贤者指引我在此等待，但我刚才差点成了猎物。谢谢你救了我。,0,0,0,0,50563;50203,18,,0
4,1,1083,史莱姆袭击,不好！一群史莱姆正冲向你，是否要一战呢？,0,0,0,5004,50204,8,,0
5,4,1106,发现矿洞,向前走就可以发现一个洞穴。阿曼达示意该过去看看。,1200,0,0,0,50205;50561,16,,0
6,3,1103,神秘的老者,矿洞尽头一个老头挡住了去路。给我一块铜矿，我就告诉你前进的路（铜矿可挖矿得到）,1200,0,101,1,50206,18,,0
7,1,1022,山林中的战斗,在丛林的小道上，你看见一群精灵正在追赶一个落单的人影，也许你该帮帮她？,1200,0,0,5007,50207,8,,0
8,0,1089,长途跋涉,继续前行，迎面是一眼望不到边的浩瀚林海。,1200,0,0,0,50200;50208,16,,0
9,0,1096,穿越林海,依旧是连绵不绝的林海，仿佛永远无法穿越，你展开地图，道标显示村子应该就在不远处。,1200,0,0,0,50200;50209,18,,0
10,1,1049,酒吧闹事,酒吧里，一群烂醉的混混把酒倒在吟游诗人的头上，并勒索金币。也许你该去阻止那些混蛋。,1200,0,0,5010,50210,15,,0
11,4,1106,冒险者公会,这样的小村庄竟然也有冒险者公会的分号，我建议你去注册，那里能招募更多的佣兵。,1200,0,0,0,50580;50211,25,,0
12,3,1047,爱心蛋包饭,一家名为【阿苏斯】的饭店挂出了2份咖喱饭只需要1000金币的招牌。似乎非常划算呢。（冒险可获得金币）,1200,0,1,1000,50585;50212,30,,0
13,1,1087,废墟史莱姆I,一群黏糊糊的怪物散发着恶臭，似乎已经包围你了。,1200,0,0,5013,50213,15,,0
14,1,1087,废墟史莱姆II,又一群剧毒史莱姆包围了你。他们身体里有许多垃圾，比如短剑，破头盔……看到这里你觉得又要战斗了。,1200,0,0,5014,50214,25,,0
15,1,1087,废墟史莱姆III,你似乎找到了通往废墟深处的入口，但又一群剧毒史莱姆挡住了去路，真是没完没了。,1200,0,0,5015,50583;50215,30,,0
16,0,1052,遇难的冒险者,你发现了一具尸体，似乎是一个装备精良的冒险者。背部有一道恐怖的伤口几乎将他劈成两半。,1200,0,0,0,50565;50216,15,,0
17,1,3108,遗迹魔物,黑暗中你似乎听到了一些诡异的声响，你借着光线向前探索，一个庞然大物出现在你面前。,1200,0,0,5017,50217,25,,0
18,2,1052,新的考验,你终于来了，我等了你3000年。只有你才能弥补我犯下的错误。,1200,1204,0,1,50218,30,,0
19,1,1076,时空乱流,时空乱流中闪出一些影魔，这是在邪恶位面中强大的怪物，它们正在围攻什么人。,1200,0,0,5019,50219,30,,0
20,1,2014,路西法,是你在召唤邪恶的存在？！看来我们难免一战！,1200,0,0,5020,50586;50220,60,,0
21,4,1166,光之使者,你战胜了堕落的天使！多么强大的存在啊，看来救赎这个位面也并非不可能。,1200,0,0,0,50221,60,,0
22,4,1008,威严的老者,谢谢你的到来，这会是一场混乱的冒险，请允许我传授你一些必备的知识。,1200,0,0,0,50222,30,,0
23,1,1114,东方古代书生,一位来自东方古老大陆上的书生走出了神殿中的传送门。,1200,0,0,5023,50223,60,,0
24,1,1162,美丽的女鬼,谁胆敢欺负我的男人！一位美丽的古装女鬼闯出传送门，你感到头都大了一圈。,1200,0,0,5024,50224,60,,0
25,0,1052,遇难的冒险者,在村空你发现了一具尸体，似乎是一个装备精良的冒险者。背部有一道恐怖的伤口几乎将他劈成两半。,1200,0,0,0,50566;50225,30,,0
26,1,3108,遗迹魔物,黑暗中你似乎听到了一些诡异的声响，你借着光线向前探索，一个庞然大物出现在你面前。,1200,0,0,5026,50574;50226,60,,0
27,4,1052,新的考验,你终于来了，我等了你3000年。只有你才能弥补我犯下的错误。,1200,0,0,0,50227,60,,0
28,1,1076,时空乱流,时空乱流中闪出一些影魔，这是在邪恶位面中强大的怪物，它们正在围攻什么人。,1200,0,0,5028,50228,30,,0
29,1,2031,魔神撒旦,是谁？胆敢召唤我！魔神撒旦穿过时空裂缝来到你的面前。,1200,0,0,5029,50229,60,第10关守卫【魔神撒旦】的,20
30,4,1166,光之使者,你战胜了魔神撒旦！多么强大的存在啊，看来救赎这个位面也并非不可能。,1200,0,0,0,50230,60,,0
31,4,1008,威严的老者,谢谢你的到来，这会是一场混乱的冒险，请允许我传授你一些必备的知识。,1200,0,0,0,50562;50231,30,,0
32,1,2003,貂蝉,一位美貌的古装女子气势汹汹地跨出神殿中的传送门。,1200,0,0,5032,50232,60,,0
33,1,2008,吕布,谁胆敢欺负我的女人，一位古代将军装束的壮汉闯出传送门，你感到头都大了一圈。,1200,0,0,5033,50233,60,,0
34,1,1085,森林魔花,寂静的森林充满着诡异的氛围，果然，刚踏入森林不就一簇食人花便悄悄地向你袭来。,1200,0,0,5034,50234,30,,0
35,4,1001,迷路的旅人,“你好，能帮帮我吗，我想我大概是迷路了。”,1200,0,0,0,50567;50235,60,,0
36,1,1090,丛林深处,丛林的道路布满荆棘，渐渐的魔物也越来越多。,1200,0,0,5036,50584;50236,60,,0
37,1,1085,不安的气息,附近的魔物开始疯狂的朝你扑来。,1200,0,0,5037,50237,30,,0
38,1,1076,恐怖的魔物,黑暗中你似乎听到了一些诡异的声音，你借着光线向前探索，一个庞大而恐怖的生物出现在眼前。,1200,0,0,5038,50238,60,,0
39,1,2017,宫本武藏,实在。。。难以理解。这是什么世界？,1200,0,0,5039,50239,60,,0
40,1,1045,魔化家畜,来到了宁静的秋瓜浮村庄，村子里空无一人，一些魔化的家畜向你扑来。,1200,0,0,5040,50240,30,,0
41,4,1004,艾丽娜,你是什么人，一位身披斗篷的女子警惕地看着你。,1200,0,0,0,50241,60,,0
42,1,2026,织田信长,啊。。啊。。。有什么力量在控制着我！,1200,0,0,5042,50242,60,,0
43,1,1061,不安的宁静,四处游荡，村子里空无一人，毫无生机，只有无穷无尽的魔物。,1200,0,0,5043,50568;50243,60,,0
44,1,1057,魔化的小孩,探身闪入一间屋子，仍然没有发现任何一个人。屋子中一个黑影像你扑来。,1200,0,0,5044,50244,180,,0
45,1,1062,吉祥三宝,你继续探查，小心翼翼地进入下一个屋子，屋子出现了三个魔化人类。,1200,0,0,5045,50245,300,第15关守卫【吉祥三宝】的,20
46,1,1059,魔化危机,无凶无尽的魔化人类来袭，甚至出现了魔化了的人类！！,1200,0,0,5046,50246,60,,0
47,1,1059,魔化危机II,强度和数量都比以前遇到的不同。,1200,0,0,5047,50247,180,,0
48,1,3108,庞然大物,一个巨大的黑影向你扑来。,1200,0,0,5048,50248,300,,0
49,3,1090,幸存者,你能给我们一些食物吗吗？,1200,0,200,1,50249,60,,0
50,4,1103,神秘的老者,善良的冒险者，收下吧，也许会对你有些帮助。,1200,0,0,0,50575;50250,180,,0
51,1,1076,石像鬼,庄园深的地面微微震动，石像渐渐苏醒，一石像鬼出现在庄园里。,1200,0,0,5051,50251,300,,0
52,1,1076,守卫,其余的石像鬼也苏醒过来，看来麻烦还没有结局。,1200,0,0,5052,50569;50252,60,,0
53,1,1051,召唤师,一队红袍的召唤师出现在你的面前，看来是他们召唤的石像鬼。,1200,0,0,5053,50253,180,,0
54,1,1127,持盾卫士,“你不能通过这里”一位持盾卫士挡在你的面前。,1200,0,0,5054,50254,300,,0
55,4,1063,憔悴的老者,你终于来了，我等了你3000年。,1200,0,0,0,50255,60,,0
56,4,1063,罗杰斯,我年轻时也是个冒险家，受众神召唤来到这个位面。神舍弃了我，现在我要以自己的方式存在！,1200,0,0,0,50256,180,,0
57,1,1063,命运之战,很好，那些胆小的神明终于有所动作了，那么抱歉了，你必须死在此地！,1200,0,0,5057,50257,300,,0
58,1,1085,弱小的魔物,南部林区的魔物非常弱小。,1200,0,0,5058,1234595,60,,0
59,0,1075,诡异的尸体,路边的突兀地出现几具尸体。,1200,0,0,0,50259,600,,0
60,1,1076,影魔,继续前行，你发现了一个隐蔽的路标。,1200,0,0,5060,50260,600,第20关守卫【影魔】的,20
61,1,1085,魔花世界,大量的食人花不满了遗迹，看来不清理掉就寸步难行了。,1200,0,0,5061,50261,60,,0
62,1,1085,园丁,还有许多食人花，你开始怀疑是不是不要惹他们才好。,1200,0,0,5062,50570;50262,600,,0
63,1,1081,异界魔物,最后一些食人花，希望就在眼前，你感到充满了干劲。,1200,0,0,5063,50263,600,,0
64,0,1103,古老的壁画,遗迹中 有一些笔画，记录着一个用着击败各种魔物的场景，在靠后一幅壁画中勇者仿佛陷入了危机。之后的墙壁是空白的墙面，引人深思。,1200,0,0,0,50264,60,,0
65,1,1083,变异史莱姆,一些变异的史莱姆将你包围，这强度让你惊呼“这不科学！”,1200,0,0,5065,50265,600,,0
66,1,1086,幼龙,变异的不仅仅是史莱姆，也许神庙中隐藏着什么秘密。,1200,0,0,5066,50266,600,,0
67,4,1082,沉睡的绿龙,龙穴中有一条沉睡的绿龙，散发着翠绿色的光芒。,1200,0,0,0,50267,60,,0
68,1,3106,翡翠绿龙,忽然，整个神庙开始剧烈的颤抖。绿龙从沉睡中苏醒过来，它似乎对你的到来似乎非常不满。,1200,0,0,5068,50576;50577;50268,1800,,0
69,0,1082,神庙逃亡,神庙底部的墙壁上有个巨大的破洞。似乎可以直接离开。,1200,0,0,0,50269,1800,,0
70,1,1084,中部的怪物,黑衣森林深处也就是中部，怪物仿佛常年受到绿龙光线的滋养变得异常强大。,1200,0,0,5070,50571;50270,60,,0
71,1,1042,喵星人,似乎有些诡异，一只喵星人出现在你的面前，但你已经见怪不怪。,1200,0,0,5071,50271,1800,,0
72,1,1087,变异史莱姆,小插曲之后，又是无尽的怪物，但是的你心情还是比较放松的，只要不是魔人，就像割草一样轻松。,1200,0,0,5072,50272,1800,,0
73,1,1090,眼魔怪,一只眼魔出现在前方，应该是某些强大魔物的哨兵。为了避免麻烦，必须速战速决。,1200,0,0,5073,50273,60,,0
74,1,1088,魅魔,宽阔的驿道应该是供大型商队所用。驿道上悄无声息地出现了一只魅魔。,1200,0,0,5074,50274,1800,,0
75,1,1090,异界魔物,驿道远方出现一个商队的露营地。你决定前往拜访。,1200,0,0,5075,50275,1800,,0
76,0,1091,营地废墟,一个大型商队露营地的废墟出现在你的面前。营地中装备精良的护卫尸横遍野，这究竟是怎么回事？,1200,0,0,0,50276,60,,0
77,0,1092,意外收获,有一个坚固的箱子被藏在一个不显眼的地方。,1200,0,0,0,50277,1800,,0
78,1,1054,蒙面人,你感受到力量的波动，一个强大的神秘的蒙面人影藏在暗处。,1200,0,0,5078,50278,1800,,0
79,1,1058,魔人再现,一个黑影向你扑来。魔人再现！！,1200,0,0,5079,50279,60,,0
80,1,1069,魔化铁匠,一个魔化的铁匠出现在你的面前。这氛围显得相当诡异。,1200,0,0,5080,50280,1800,,0
81,0,1074,石场水车,远处出现一个水车的轮廓，看起来应该是个村庄。,1200,0,0,0,50281,1800,,0
82,1,1062,强力魔人,低径村庄中的魔人纷纷袭来。,1200,0,0,5082,50282,60,,0
83,1,1054,蒙面人再现,“看起来你还挺警觉的嘛”强大的蒙面人再次出现。你感到头皮发麻。,1200,0,0,5083,50283,1800,,0
84,1,1054,以太狩猎团,呵呵，能够成为以太狩猎团的猎物是你的荣幸。,1200,0,0,5084,50284,1800,,0
85,1,1092,水元素,你的到来让沼泽边上的水元素显得狂躁不安。,1200,0,0,5085,50285,60,,0
86,4,1103,神秘老人,我等你很久了，冒险者，跟我来吧”,1200,0,0,0,50286,1800,,0
87,1,1094,穴居恶魔,一只恶魔向你扑了过来，你似乎进入了某个强大存在的警戒范围。,1200,0,0,5087,50287,1800,,0
88,0,1096,洞穴秘宝,洞穴中你发现了金色的光芒，顺着光芒走去，你发现了一个大型的宝藏。,1200,0,0,0,50288,60,,0
89,1,1096,魔化巨蛛,洞穴深处你发现了一直巨大的蜘蛛，它正在对你虎视眈眈。,1200,0,0,5089,50289,1800,第30关守卫【魔化巨蛛】的,20
90,1,1081,别有洞天,边清理蛛网边向前探索，洞穴的深处的光线忽然变亮了起来，前方似乎别有洞天。,1200,0,0,5090,50290;1234655,1800,,0
91,1,1054,噩梦缠身,“你好，冒险者，我们又见面了。”蒙面人再次出现。,1200,0,0,5091,50291,60,,0
92,1,1084,神秘的组织,“我欣赏你努力挣扎的表现。或许组织对你的危险等级评价需要再提高2个等级。B+？或许是A级？”,1200,0,0,5092,50292,1800,,0
93,1,1085,高径悬崖,暂时摆脱后，你穿过高径最后一段路。,1200,0,0,5093,50293,1800,,0
94,1,2024,以太狩猎团,“从来没有猎物能从以太狩猎团的手中逃脱。”另一个更加强大的神秘人出现了！,1200,0,0,5094,50294,60,,0
95,1,1088,身陷重围,以太狩猎团包围了你。背水一战。,1200,0,0,5095,50295,1800,,0
96,0,1089,高径瀑布,森林深处的悬崖边，你被以太狩猎团逼到绝境，到底该怎么办呢？怎么办呢？,1200,0,0,0,50296,1800,,0
97,4,1166,神仆,我是命运与轮回之神的神仆，我等你很久了。看来你相当虚弱。,1200,0,0,0,50297,60,,0
98,4,1166,无法逆转,以太狩猎团已经强大到我们无法阻止了，我们必须回到一切的原点，这样，才能阻止世界的毁灭。,1200,0,0,0,50298,1800,,0
99,4,1166,传送法阵,他们来了，时间不多了，记住收集齐所有的宿命神器才能拯救这个世界。,1200,0,0,0,50299,1800,,0
100,1,1092,苏醒的元素,传送法阵似乎并没有成功，你被抛到了时空的乱流，乱流中的生物被惊动，纷纷聚集过来。,1200,0,0,5100,50300,60,,0
101,1,1077,狂暴的元素,四周的空间开始变得极度的不稳定，一群狂暴的元素向你扑来。,1200,0,0,5101,50301,1800,,0
102,1,1093,时空裂缝,在危险的时空乱流中摸索着前行，你发现了离开时空乱流的裂缝。,1200,0,0,5102,50302,1800,,0
103,1,1094,虚空魔物,虚空中的魔物纷纷聚拢过来，仿佛看见了鲜美的食物。,1200,0,0,5103,50303,60,,0
104,0,1074,虚空遗骸,你发现了一句虚空巨兽的遗骸。,1200,0,0,0,50304,1800,,0
105,1,1094,虚空荒原,又一群虚空魔物袭来，远处发现了一片开阔地。,1200,0,0,5105,50305,1800,,0
106,0,1076,危险荒原,一望无际的荒原上游荡着更强大的魔物。,1200,0,0,0,50306,60,,0
107,4,1052,虚空行者,哈哈，虚空旅行是非常危险的，像你这样的新手要特别小心。”一位路过的虚空行者向你打招呼,1200,0,1,100000,50307,1800,,0
108,1,1079,虚空村庄,继续前行，远处出现了一个模糊的轮廓，危险的魔物埋伏在四周。,1200,0,0,5108,50308,1800,,0
109,0,1095,冷漠的村民,“新来者，呵呵，几百年没有遇到新来者了。”,1200,0,0,0,50309,60,,0
110,1,1072,酒吧斗殴,“新来的，赶紧交保护费”一群凶恶的喽喽将你围了起来。,1200,0,0,5110,50310,1800,,0
111,4,1154,神秘的女子,新来的，如果你能穿过虚空平原到达虚空之城，也许就能找到离开扭曲虚空的方法。”,1200,0,0,0,50311,1800,,0
112,1,1081,虚空魔花,平原中的虚空植物竟然开始蠕动起来，将你包围。,1200,0,0,5112,50312,60,,0
113,1,1081,无尽的食人花,平原一阵骚动，更多的食人花聚集过来。你感到这样的场景似曾相识。,1200,0,0,5113,50313,1800,,0
114,0,1083,虚空王城,加快步伐穿过了整个平原，你看见远处出现了巍峨胸围的城堡轮廓。,1200,0,0,0,50314,1800,,0
115,1,1084,虚空盗贼,“新来者，弱肉强食，别怪我”,1200,0,0,5115,50315,60,,0
116,4,1127,通用手势,“你们不能通过这里，除非...”守卫队长摆出了一个人类通用的手势。,1200,0,1,10000000,50316,1800,,0
117,1,1127,过河拆桥,悟性不错啊，新来的冒险者。可惜你还是太年轻了。,1200,0,0,5117,50317,1800,,0
118,1,1056,嚣张的守卫,“不想死的就闪开点！”守卫似乎注意到你的财务“这些人是可疑人物，格杀勿论！”,1200,0,0,5118,50318,60,第40关守卫【嚣张的守卫】的,20
119,0,1088,生存法则,"一队重装骑兵匆匆赶来，为首一位年长的军官发现了你。""新来者，你知道这个世道的生存法则吗？""说着做出了一个熟悉的手势。",1200,0,0,0,50319,1800,,0
120,1,1089,地下城同盟,“救命！谁来帮帮我。”一堆乘火打劫的喽喽围住了一位女子。,1200,0,0,5120,50320,1800,,0
121,1,1017,前哨战,地下城同盟的哨兵发现了你，机警的哨兵瞬间扑了上来。,1200,0,0,5121,50321,60,,0
122,4,2026,佩恩,欢迎来到地下城同盟，我是首领佩恩。我们的时间已经不多了。,1200,0,0,0,50322,1800,,0
123,1,2026,通往禁区的地图,位面的力量正在衰败，我们必须点燃时空之炬回到主位面。这份地图可以指引你通过禁区取回火种。,1200,0,0,5123,50323,1800,,0
124,1,1092,能量风暴,虚空禁区中充满着肆虐的能量风暴，狂暴的怪物向你聚拢古来。,1200,0,0,5124,50324,60,,0
125,1,3101,虚空星兽,天空中传来一声低沉的咆哮，一直巨大的怪物正一步一步向你走来。你感到危险的气息。,1200,0,0,5125,50325,1800,,0
126,0,1076,穿过禁区,巨大恶魔消失不久，禁区中的魔物再次疯狂起来。你决定赶紧离开。,1200,0,0,0,50326,1800,,0
127,1,1079,遗迹守卫,接近遗迹，地面微微震动起来，建筑中的灯光忽然打开，一队遗迹守卫向你扑来。,1200,0,0,5127,50327,60,,0
128,1,1076,遗迹宝藏,继续接近遗迹，地面上插着一把黝黑的武器，四周升起几个影魔石像物体，似乎开始复活。,1200,0,0,5128,50328,1800,,0
129,0,1077,遗迹核心,越过球形守卫，建筑的大门自行升起。,1200,0,0,0,50329,1800,,0
130,1,3006,上古兵器,核心的内壁布满大块的透明宝石，中央伫立着一个上古金属的巨像，随着你的靠近，巨像渐渐地活动起来。,1200,0,0,5130,50330,60,,0
131,3,1001,矿物燃料,核心底部有一根透明的柱子，周围朴素的墙壁上有许多凹槽，仔细查看之下像是一些矿石的外形。,1200,0,105,10,50331,1800,,0
132,0,1095,前往王城,遗迹的能量不能维持很久，你匆匆的探查一番，便起身离开。,1200,0,0,0,50332,1800,,0
133,1,1056,风暴前夕,王城中处于一片寂静，仿佛是暴风的前夕，一队守卫拦住了你的去处。,1200,0,0,5133,50333,60,第45关守卫【风暴前夕】的,20
134,1,1056,陷入混乱,一支军队开始行动，你被他们的守卫拦住了。,1200,0,0,5134,50334,1800,,0
135,0,1061,虚空教堂,查阅地图后你发现了上层深处的目的地。,1200,0,0,0,50335,1800,,0
136,1,1023,教堂守卫,一队装备精良的教堂守卫拦在你的面前，他们眼神中流露出狂热的红色。,1200,0,0,5136,50336,60,,0
137,4,1004,布里坦纳,从远方来的冒险者，你听说过上古邪神的传说吗？,1200,0,0,0,50337,1800,,0
138,1,2035,难免一战,"""算了，事到如今说什么都晚了！""",1200,0,0,5138,50338,1800,,0
139,1,1083,时空冤魂,时空之炬周围布满了冤魂，看来这个装置还真是不靠谱！,1200,0,0,5139,50339,60,,0
140,1,3004,时空之神,"""又见面了，冒险者，让我看看这次你有没有突破力量的界限！""",1200,0,0,5140,50340,1800,,0
141,1,1084,再次穿越,火种从你的背包中飞出，慢慢靠近时空之炬。,1200,0,0,5141,50341,1800,,0
142,1,1085,时空乱象,不稳定的时空隧道中出现了一些老朋友。,1200,0,0,5142,50342,60,,0
143,1,1054,终极追杀,"""你果然没有让我失望！""以太狩猎团的杀手忽然出现。",1200,0,0,5143,50343,1800,,0
144,0,1088,希望之穿越,一阵扭曲的能量扑向你，你赶紧闭上眼睛，你开始感受到力量运行的规则。,1200,0,0,0,50344,1800,,0
145,4,1089,神秘的老者,虽然你活着回来了，但你离力量的边界还差的太远了，时间已经不多了。你只能继续前行。,1200,0,0,0,50345,60,,0
146,1,1090,以太魔物,一群以太魔物围了过来，普通的魔物都变得难以应付。,1200,0,0,5146,50346,1800,,0
147,1,1091,重回初始之地,在陌生的丛林中前行，你渐渐感知出了方向。,1200,0,0,5147,50347,1800,,0
148,1,1092,污染的魔物,被以太潮污染的森林变得更加阴森，魔物也变得更加凶恨。,1200,0,0,5148,50348,60,,0
149,1,1072,污染的魔人,“杀！杀！杀！”丛林中窜出一个强大的魔人。,1200,0,0,5149,50349,1800,第50关守卫【污染的魔人】的,20
150,0,1094,回归,经过一路长途跋涉，你来到了记忆中沃兰村的方位。,1200,0,0,0,50350,1800,,0
151,0,1074,遗址,曾经的兰沃村衰败不堪，只留下一片废墟，仿佛从来没有存在过一样。,1200,0,0,0,50351,60,,0
152,1,1075,怨灵,“你怎么还不回来！”一个强大的怨灵出现在遗址中。,1200,0,0,5152,50352,1800,,0
153,1,1103,新的使命,“你终于回来了”村长康恩的容貌浮现了出来“你不在的100年间以太狩猎团已经开始破坏位面的稳定。”,1200,0,0,5153,50353,1800,,0
154,1,1089,以太蝙蝠,离开兰沃村遗址，你开始穿行在以太荒漠中，以太魔物如影随性。,1200,0,0,5154,50354,60,,0
155,1,1047,荒原苦战,继续前行，一群以太饿狼将你包围。,1200,0,0,5155,50355,1800,,0
156,1,1095,逃离荒原,天色渐渐暗了下来，你发现一块路标，一边指向荒原深处，另一边指向相反方向。,1200,0,0,5156,50356,1800,,0
157,1,1077,火元素,沙漠中一群火元素感受到你的存在。他们似乎对你的力量相当饥渴。,1200,0,0,5157,50357,60,,0
158,1,1161,火焰领主,“让你成为我力量的一部分吧。”火焰领主降临在你的面前。,1200,0,0,5158,50358,1800,,0
159,0,1081,无尽的沙漠,穿行在一望无际的沙漠中，你感到一丝疲惫。,1200,0,0,0,50359,1800,,0
160,0,1007,同路,沙漠开始变得更加炽热，你发现了一些白骨。,1200,0,0,0,50360,60,,0
161,1,1049,沙漠劫匪,一群凶恶的匪徒将你包围，来着不善。,1200,0,0,5161,50361,1800,,0
162,0,1084,山脉,无止尽的行走耗尽了你的耐心，不知何时起远处的单调的风景产生了变化。连绵的火红色山脉印入你的眼帘。,1200,0,0,0,50362,1800,,0
163,1,1085,绿洲食人花,沙漠中出现了绿洲，绿洲中的植物似乎也很不好惹。,1200,0,0,5163,50363,60,,0
164,1,1076,远古守卫,山脉中的道路并不宽敞，断壁残垣中出现了大量的石像守卫。,1200,0,0,5164,50364,1800,,0
165,1,1088,通往秘境,在山脉深处你发现了一处能量激流，似乎是一个传送门。,1200,0,0,5165,50365,1800,,0
166,0,1006,思考,看起来之前的断壁残垣是以太教徒曾经的神殿，而这个传送门便是紧急出口。,1200,0,0,0,50366,60,,0
167,1,1127,以太危机,一群以太士兵趁你思考时将你围住，他们训练有素配合默契，看起来相当棘手。,1200,0,0,5167,50367,1800,,0
168,1,1019,天才少年凯,一位相貌英俊，眼神犀利自称是凯的少年出现在你的面前，似乎对你之前的实力有所怀疑。,1200,0,0,5168,50368,1800,,0
169,1,1047,以太座狼,以太平原与第六纪元中的魔物外形上并无区别，只是实力强大到不可估量的程度。眼前出现了一群以太座狼。,1200,0,0,5169,50369,60,,0
170,1,1047,以太狼群,以太潮似乎没有影响座狼群居的习惯，一群以太座狼将你团团围住。,1200,0,0,5170,50370,1800,,0
171,0,3104,神之秘境,平原的尽头是一个庞大的巨石建筑群，你加快脚步前进。,1200,0,0,0,50371,1800,,0
172,1,1094,残暴神仆,一群变异的神仆出现在你的面去，他们似乎失去了理智。,1200,0,0,5172,50372,60,,0
173,1,1167,神官,残暴的神仆忽然匍匐在地上，强大的气息席卷了整个空间，一名战斗神官瞬移到你的面前，长剑缓缓举起。,1200,0,0,5173,50373,1800,,0
174,1,1075,众神神殿,位面空间中出现巨大的能量波动，看起来有什么重大的事情将要发生，,1200,0,0,5174,50374,1800,,0
