事件ID,Type,NPC模型,Title,描述,饱足度消耗,消耗物品,消耗资源,消耗数量,奖励ID队列,事件需要时间,通关公告描述,最大通关通知人数
175,4,2013,力量界限,以太潮影响的邪恶冒险者已经摧毁了位面能量的平衡，他们已经突破了位面承载力量的极限。,1200,0,0,0,50375,60,,0
176,4,2013,弑神者,众神纷纷陨落。弑神者将统治整个位面。也许只有你能阻止这一切，但现在的你还是太嫩了。,1200,0,0,0,50376,1800,,0
177,1,2013,大天使,战胜我，我会送你去以太位面，在哪里，你将继续寻找答案。,1200,0,0,5177,50377,1800,,0
178,4,3105,以太军队,欢迎，远道而来的冒险者，我上古邪神塞恩将夺取你的灵魂。,1200,0,0,0,50378,60,,
179,1,3105,塞恩,你借着光线向前探索，一个庞大而恐怖的生物出现在眼前。,1200,0,0,5179,50379,1800,第60关守卫【塞恩】的,20
180,0,3101,时空漩涡,忽然，天空出现一道裂痕，一股强大的力量把你牵引进去。,1200,0,0,0,50380,1800,,0
181,1,1088,混沌纪元,黑暗中你似乎看到了一丝微弱的光线，你借着光线向前探索，一群丑陋而强悍的生物出现在眼前。,1800,0,0,5181,50381,60,,0
182,1,1089,迷雾重重,更多的怪物被惊醒，纷纷想你袭来。,1800,0,0,5182,50382,1800,,0
183,4,1063,神秘老者,从远方来的冒险者，你听说过宿命轮回的传说吗？说完留下一张地图便消失了。,1800,0,0,0,50383,1800,,0
184,1,1092,混沌的元素,你继续前行，光线渐强，大陆的轮廓清晰起来，苏醒的的混沌元素出现在眼前。,1800,0,0,5184,50384,60,,0
185,1,3105,混沌领主,伴随一阵咆哮，强悍的混沌领主降临了。,1800,0,0,5185,50385,1800,,0
186,0,1061,前往初始位面,虽然你活了下来，但你越发感觉自己离力量的边界还差的太远了。你只能继续前行。,1800,0,0,0,50386,1800,,0
187,1,2229,神之考验,你会被我撕碎。给天上那帮家伙们一个惊喜。哈哈哈。,1800,0,0,5187,50387,60,,0
188,3,1166,众神指引,众神指引我在此等你，冒险者，你需要更加强大，继续前进。,1800,0,3,1500,50388,1800,,0
189,0,1061,新的征途,天使的信息方便你领悟这个位面力量运行的规则。,1800,0,0,0,50389,1800,,0
190,1,1076,万物初始,远处的平原被苍蓝色的光芒覆盖，强大的魔物四处徘徊。忽然他们像发现猎物一样向你扑来。,1800,0,0,5190,50390,60,,0
191,1,2242,初始凶兽,你感到地面微微震动，震动逐渐加强，一只三头初始凶兽向你飞奔而来。,1800,0,0,5191,50391,1800,,0
192,0,1090,苍蓝之镜,一番激战之后你来到一个浩瀚的湖泊边上，湖中蕴藏着巨大的能量，,1800,0,0,0,50392,1800,,0
193,1,1169,碧蓝幼龙,忽然，强烈的危机感袭来，你似乎闯入了某些强悍生物的领地。,1800,0,0,5193,50393,60,,0
194,1,1169,碧蓝龙群,重新休整之后，更多的碧蓝幼龙再次向袭来。,1800,0,0,5194,50394,1800,第65关守卫【碧蓝龙群】的,20
195,0,1093,秘密小径,匆忙中你翻看地图，地图上标明了湖边有条密道。,1800,0,0,0,50395,1800,,0
196,0,1094,苍蓝之力,经过一番思索，你领悟到苍蓝之镜中蕴含这苍蓝之力。,1800,0,0,0,50396,60,,0
197,1,2240,圣龙纳多,然而不知不觉中，你闯入了圣龙的巢穴。,1800,0,0,5197,50397,1800,,0
198,0,1075,冰雪长廊,圣龙吃痛离开了，你发现了巢穴深处的长廊。,1800,0,0,0,50398,1800,,0
199,1,2242,神殿守卫,冰雪长廊中布满了冰雪守卫。他们似乎对你充满敌意。,1800,0,0,5199,50399,60,,0
200,1,1167,奥黛雷赫,我等你很久了，冒险者，让我试试你的成长速度，别让我失望哦。,1800,0,0,5200,50400,1800,,0
201,3,2013,前往神殿,给我一些金币，我会为你开启冰雪神殿的大门！,1800,0,1,90000000,50401,1800,,0
202,4,1095,冰雪女神,你在上个纪元的成长的速度实在是太慢了，我对你感到非常的失望。,1800,0,0,0,50402,60,,0
203,1,2229,女神之怒,恩？你似乎已经领悟到力量本源的规则？让我试试你现在的实力吧。,1800,0,0,5203,50403,1800,,0
204,0,1047,神殿密道,冰雪女神在位面的投影消失了，你发现只留下一尊神像。,1800,0,0,0,50404,1800,,0
205,1,2014,救世之路,声音浮现，你必须阻止这个位面的……前方出现了恶魔的身影。,1800,0,0,5205,50405,60,,0
206,1,2242,神殿近卫,一队神殿近卫冲了过来，竟已经被恶魔蛊惑。,1800,0,0,5206,50406,1800,,0
207,0,1084,洪荒海岸,杀出重围，你来到了一片滩涂，加速通过，确不像湖泊哪有有边际。,1800,0,0,0,50407,1800,,0
208,1,1094,始祖鱼人,海岸上遍布凶恶的始祖鱼人，凶残的鱼人成群结队地向你扑来。,1800,0,0,5208,50408,60,,0
209,1,1094,鱼人祭司,源源不绝的鱼人让开了一条道路，一位强大的鱼人祭司向你走来。,1800,0,0,5209,50409,1800,第70关守卫【鱼人祭司】的,20
210,4,1094,洪荒之海, ,1800,0,0,0,50410,1800,,0
211,4,3104,深海之怒,卑微的入侵者，竟敢伤害我的子民。我会让你在痛苦中受到折磨。,1800,0,0,0,50411,60,,0
212,1,3104,海神利威亚桑,一条巨大的水龙从洪荒之海中飞出，澎湃的力量让你几乎无法站稳。一场恶斗随即展开。,1800,0,0,5212,50412,1800,,0
213,0,1088,洪荒码头,继续前行，一座魔导符文科技打造的上古码头出现在你的视线中。,1800,0,0,0,50413,1800,,0
214,4,1089,沧海一粟,码头工似乎预料到你的到来。,1800,0,0,0,50414,60,,0
215,1,2032,趁火打劫,一队霸道的水手来到码头，似乎看中了你的钱财。,1800,0,0,5215,50415,1800,,0
216,4,1127,上船出发,你们等着，我的兄弟会好好教训你。水手四散逃窜，只丢下一句狠话。,1800,0,0,0,50416,1800,,0
217,1,2035,准入系统,你刚登上魔导巨船，警笛响起，魔导守卫纷纷进入战斗姿态。,1800,0,0,5217,50417,60,,0
218,1,2242,难缠的守卫,守卫受到特殊能量的加持，变得非常难缠。,1800,0,0,5218,50418,1800,,0
219,1,2242,前往甲板,源源不断的守卫受到特殊能量的加持，变得越来越非常难缠。,1800,0,0,5219,50419,1800,,0
220,1,2012,彪悍的厨师,甲板上，一位金发厨师瞅着你。,1800,0,0,5220,50420,60,,0
221,1,1174,海藻头剑士,甲板上，一位剑士拦住你的去路。,1800,0,0,5221,50421,1800,,0
222,0,1075,准入通过,广播忽然响起：“恭喜你通过实力准入系统，你通过了考验，欢饮来到诺亚号方舟。”,1800,0,0,0,50422,1800,,0
223,0,1076,船长的邀请,广播继续“请来船长室，船长有请。”,1800,0,0,0,50423,60,,0
224,1,2206,杰克船长,小心了小伙子！黑暗中有人发出偷袭。,1800,0,0,5224,50424,1800,第75关守卫【杰克船长】的,20
225,4,2032,扬帆起航,我等你很久了，只有你手中的地图才能指引我们走上正确的航线。现在，全体注意，杨帆起航。,1800,0,0,0,50425,1800,,0
226,0,2032,魔能导航,地图卷入一个奇怪的铁盒子，魔导符文若隐若现，魔能导航开启导航。,1800,0,0,0,50426,60,,0
227,1,1084,魔能守卫,前方进入无尽之海，预防魔物袭击。,1800,0,0,5227,50427,1800,,0
228,0,1166,遭遇激流,激流警报！请抓紧扶手。,1800,0,0,0,50428,1800,,0
229,1,1087,魔物入侵,伴随着激流大群魔物登上了甲板。,1800,0,0,5229,50429,60,,0
230,1,3102,始祖魔物,一只巨大的魔物盯上了你，你感到一丝危险的气息。,1800,0,0,5230,50430,1800,,0
231,1,1088,无尽魔物,干掉始祖魔物似乎并不能阻止其他魔物。,1800,0,0,5231,50431,1800,,0
232,3,2032,前途未卜,跟随这导航和激流，方舟驶入了一个巨大的漩涡。快去寻找2块泰坦铁加固船体，就快来不及了！,1800,0,107,12,50432,60,,0
233,1,1090,魔王,光线渐暗，天空泛起异样的红色，一只巨大的魔王破空降临在甲班。,1800,0,0,5233,50433,1800,,0
234,0,1081,神启航线,导航的广播响起，恭喜你成功进入神启航线。,1800,0,0,0,50434,1800,,0
235,0,1083,航路魔物,成功进入神启航线。杰克船长和全体成员非常兴奋。,1800,0,0,0,50435,60,,0
236,1,1169,水龙幼龙,可是不久后这份喜悦就被冲淡了，航线中的魔物似乎更加难缠。,1800,0,0,5236,50436,1800,,0
237,4,1085,迷雾之海,迷雾四起，船员们陷入一阵慌乱。,1800,0,0,0,50437,1800,,0
238,1,1074,迷之魔物,迷雾中，魔物的身影浮现出来，你们遭遇到了迷之魔物。,1800,0,0,5238,50438,60,,0
239,1,1054,迷之首领,迷雾越来越浓，一个庞大的身影向你袭来。你遭遇到迷之首领。,1800,0,0,5239,50439,1800,第80关守卫【迷之首领】的,20
240,0,1088,孤岛危机,迷雾中出现了一个岛屿，船长决定靠岸补给。,1800,0,0,0,50440,1800,,0
241,3,1089,补给站,在这座上古遗迹中居然有个补给站，你只需要支付一点点金币，一点点……,9000,0,1,236750000,50441,180,,0
242,1,1056,禁止通过,遗迹中的守卫似乎已经无法识别敌我。,9000,0,0,5242,50442,5400,,0
243,3,1003,禁区,在收取了一笔可观的小费后，船员告诉你守卫的权限发生过篡改。,9000,0,104,850,50443,5400,,0
244,3,1056,天龙人保镖,“你们不能通过这里”，一群更强的守卫拦住了你们的去路。带头的并向你索要黄金。,9000,0,105,600,50444,180,,0
245,1,1056,海扁,冷不丁，带头的守卫向你挥拳。,9000,0,0,5245,50445;1234639,5400,,0
246,0,1094,急速坠落,重新上路后不久，海平线开始下降。,9000,0,0,0,50446,5400,,0
247,3,2032,固定光翼,“别担心”船长安慰你“我们这艘是可以飞的船。但是需要足够的红宝石作为能量。”,9000,0,108,195,50447,180,,0
248,1,3106,始祖飞龙,忽然间，狂风大作，一直庞大的始祖飞龙盯上了光翼的能量，大口大口的啃食。,9000,0,0,5248,50448,5400,第83关守卫【始祖飞龙】的,20
249,0,1004,有惊无险,击退了恶龙，方舟有惊无险地降落至水面。,9000,0,0,0,50449,5400,,0
250,0,1076,苍穹奇迹,苍穹瀑布由巨大的落差组成，海水被神力隔成两个位面。,9000,0,0,0,50450,180,,0
251,1,1092,暴怒的元素,尽管有光翼加持，方舟的降落仍然惊天动地。一群被激怒的元素生物将你们包围起来。,9000,0,0,5251,50451,5400,,0
252,0,1079,天幕之境,继续航线，前方出现了陆地。靠近一看，竟然是一片生机盎然的草原。,9000,0,0,0,50452,5400,,0
253,1,1076,狂野魔兽,告别了船员，你踏实了寻找失落之城的新征途。刚想感慨，草原上暗藏的魔兽就扑了上来。,9000,0,0,5253,50453,180,,0
254,1,1088,狩猎开始,如你所见这里简直就是造物主的恩赐，尽情的狩猎吧。,9000,0,0,5254,50454,5400,,0
255,4,1123,天幕荒原,从远方来的冒险者，你听说过上古邪神的传说吗？,9000,0,0,0,50455,5400,,0
256,3,1108,王牌猎手,“你好我是赫米特·奈辛瓦里，欢迎来到众神猎场。”只见其递来了一份狩猎协议。,9000,0,106,75,50456,180,,0
257,1,3101,史前巨兽,一直巨大的史前巨兽出现在你们的视线里，这将会决定谁才是真正的王牌猎手。,9000,0,0,5257,50457,5400,,0
258,3,1108,寻找失落之城,“看来你就是传说中的冒险者，我知道一条通往失落之城的道路，但这是秘密，嗯？除非…”,9000,0,109,135,50458,5400,,0
259,1,1049,废墟恶徒,穿过荒原你发现一片废墟遗迹，废墟中的恶徒也发现了你。,9000,0,0,5259,50459,180,,0
260,1,1056,废墟强盗,一伙装备精良的废墟强盗闻声赶来，你的运气不错。,9000,0,0,5260,50460,5400,,0
261,4,1049,失落之城,“别打啦，失落之城就在遗迹后面。”恶徒们似乎得到了教训。,9000,0,0,0,50461,5400,,0
262,1,1049,市井混混,主城外的旧城区充斥着难民，一群市井混混将你拦下。,9000,0,0,5262,50462,180,,0
263,1,2034,黑帮教父,我的手下告诉我，你似乎不懂规矩？,9000,0,0,5263,50463,5400,,0
264,0,1089,前往内城,穿过旧城区，宏伟的主城完全展现在你的面前。,9000,0,0,0,50464,5400,,0
265,1,1094,矩阵防御,城门口的防御系统对你产生了警觉，一队队守卫向你冲了过来。,9000,0,0,5265,50465,180,,0
266,1,1075,防御守卫,来不及细想，又有大群守卫将你层层包围。,9000,0,0,5266,50466,5400,,0
267,0,2024,前往河道 ,源源不断的守卫从城中涌出，你想了想改变了主意。,9000,0,3,17250,50467,5400,,0
268,1,1079,护城卫兵,河道中的警报系统又激活了一队卫兵。,9000,0,0,5268,50468,180,,0
269,1,1094,卫队百夫长,一位卫队百夫长拦住你的去路。,9000,0,0,5269,50469,5400,,0
270,0,1006,庞贝城再现,干掉守卫，你加速穿越河道。,9000,0,0,0,50470,5400,通过【90】关的,20
271,4,1094,魔导卫兵,庞贝城中居然也是守备森严，空旷的街道上只有魔导卫兵在巡逻。,9000,0,0,0,50471,180,,0
272,1,1094,魔导卫兵,庞贝城中居然也是守备森严，空旷的街道上只有魔导卫兵在巡逻。,9000,0,0,5272,50472,5400,,0
273,1,1094,魔导卫兵,庞贝城中居然也是守备森严，空旷的街道上只有魔导卫兵在巡逻。,9000,0,0,5273,50473,5400,,0
274,4,1075,伟业考核,你遇到了庞贝伟业的执事，他向你说明之前都只是只是伟业考核的初试。,9000,0,0,0,50474,180,,0
275,1,1076,伟业邀请函,现在才是正真的考验开始。你必须穿越新街街道到达庞贝伟业，见到院长安东尼达斯。,9000,0,0,5275,50475,5400,,0
276,4,1077,前往新街,你挑战状态，沿着街道向着目标前进。,9000,0,0,0,50476,5400,,0
277,1,1079,庞贝内城,新街和纠结的景色完全不同，这里守卫的实力大幅提升。你终于明白初试的意思。,9000,0,0,5277,50477,180,,0
278,1,1095,防御系统,防御系统提升至最高等级，只有战胜它你才能进入庞贝伟业。,9000,0,0,5278,50478,5400,,0
279,1,1096,庞贝伟业,很好，欢迎你命运选中的勇者。我是庞贝伟业的院长，安东尼达斯。我会向你说明一切。,9000,0,0,5279,50479,5400,,0
280,1,1047,魔导学院,庞贝伟业是一所魔导学院，如你所见，上古魔导技术打造的战争机器非常厉害。你可以试试这种最新型号。,9000,0,0,5280,50480,180,,0
281,4,1081,魔物研究,此外，上古生物研究也有突飞猛进的发展，你可以试试纯生物技术的实验型魔物。,9000,0,0,0,50481,5400,,0
282,0,1083,上古学院,安东尼达斯欣赏地轻松地微笑着，你却有种想海扁他一顿的冲动，,9000,0,0,0,50482,5400,,0
283,0,1084,研究课题,庞贝伟业是纪元终结的遗产，是拯救位面的最后堡垒。请原谅我们粗鲁地考验你的实力。,9000,0,0,0,50483,180,,0
284,1,1085,究极神兵,黑暗中你似乎听到了一些诡异的声音，你借着光线向前探索，一个庞大而恐怖的生物出现在眼前。,9000,0,0,5284,50484,5400,,0
285,4,1087,英雄学院,你并不是第一个来到这里的冒险者，然而你的实力和潜力确实是最高的。,9000,0,0,0,50485,5400,,0
286,0,1088,希望之路,首先你必须明白希望之路这个位面拯救计划，召唤勇者，并加以培养。从而对抗。。那些家伙，恩。,9000,0,0,0,50486,180,,0
287,1,1089,末日预言,末日预言是确实存在的，种下末日之种的位面会遭到末日收割者的入侵而最终导致灭亡。,9000,0,0,5287,50487,5400,,0
288,0,1090,试炼之路,好了，正在的试炼之路已经向你打开，请进吧英雄。,9000,0,0,0,50488,5400,,0
289,1,1091,试炼守卫,试炼守卫准备就绪。,9000,0,0,5289,50489,180,,0
290,1,1092,试炼守卫,试炼守卫再次准备就绪。,9000,0,0,5290,50490,5400,,0
291,1,1093,试炼守卫,试炼守卫再再次准备就绪，这是最后一次。,9000,0,0,5291,50491,5400,,0
292,1,1166,失控的守卫,警报，安全限制已解除，杀戮模式已开启。守卫似乎已经失控。,9000,0,0,5292,50492,180,,0
293,1,1002,错乱的守卫,警报，安全限制已解除，杀戮模式已开启。守卫似乎已经错乱。,9000,0,0,5293,50493,5400,,0
294,0,1094,前往传送门,试炼之路已经疯狂。你根据指引，退往传送门。,9000,0,0,0,50494,5400,,0
295,1,1003,错乱的守卫,刚跨来到门口，一组错乱的守卫围了上来。,9000,0,0,5295,50495,180,,0
296,1,1074,不稳定通道,错乱的守卫越聚越多，你开始怀疑指引的用意。,9000,0,0,5296,50496,5400,,0
297,4,1075,通道展开,传送门发出耀眼的光芒，一条位面通道缓缓展开。,9000,0,0,0,50497,5400,,0
298,1,1002,守护天使,同道中已是战场，恶魔与天使正在浴血奋战。,9000,0,0,5298,50498,180,,0
299,0,1076,战斗光天使,光天使也在其中，她见到你，指向通道的尽头。你加速通过。,9000,0,0,0,50499,5400,,0
300,0,1077,灵感位面,通道的尽头是一个稳定的位面，充满了生机。,9000,0,0,0,50500,5400,,0
301,0,1002,位面战争,你感受到神力的波动，意识到自己来到了主位面——灵感。,9000,0,0,0,50501,180,,0
302,1,1079,炽天使,炽天使杀红了眼睛向你扑来。,9000,0,0,5302,50502,5400,,0
303,4,1095,灵感神殿,你继续前行，光线渐强，前方出现一幢宏伟的神殿。,9000,0,0,0,50503,5400,,0
304,4,1096,神殿禁区,神殿前方树立着警告标示，示意此处已是禁区。,9000,0,0,0,50504,180,,0
305,1,1047,禁区守卫,禁区守卫杀红了眼睛向你扑来。,9000,0,0,5305,50505,5400,,0
306,0,1081,初识领域,忽然，你感觉自己的力量被封印了起来。,9000,0,0,0,50506,5400,,0
307,1,1001,位面中枢,圣神的威压向你袭来，你匍匐在地上抬不起头，此处正是位面的中枢。,9000,0,0,5307,50507,180,,0
308,4,1083,女神投影,灵感女神的投影降临。你是我们位面的希望。,9000,0,0,0,50508,5400,,0
309,0,1084,领域核心,末日之战正在进行，我们需要你的帮助，现在前往领域核心。,9000,0,0,0,50509,5400,,0
310,1,1085,阴谋诡计,一切的一切串联了起来，只差最后一点了。,9000,0,0,5310,50510,180,,0
311,1,1087,异位面英雄,一位同你一样打扮的冒险者出现在你的面前。你似乎预料到了他的出现。,9000,0,0,5311,50511,5400,,0
312,0,1088,核心裂缝,领域核心中出现了一条裂缝，这是通往末日战场的不归路。,9000,0,0,0,50512,5400,,0
313,1,1089,恶魔入侵,裂缝中是恶魔的主场，恶魔数量陡然增加。,9000,0,0,5313,50513,180,,0
314,1,1090,恶魔入侵,裂缝中是恶魔的主场，恶魔数量陡然增加。,9000,0,0,5314,50514,5400,,0
315,4,1091,时空裂痕,核心裂缝禁受不住强者们力量的冲击，开始膨胀，变化为时空裂痕。,9000,0,0,0,50515,5400,,0
316,4,1092,罪恶之源,力量的界限被突破，更强大的恶魔领主降临了。,9000,0,0,0,50516,180,,0
317,1,1002,邪恶的英雄,邪恶的冒险者，向你走来，你瞬间领悟到都是他一手导演的。,9000,0,0,5317,50517,5400,,0
318,0,1006,以太风暴,邪恶的冒险者引爆了自己，剧烈的能量波动引发了风暴。,9000,0,0,0,50518,5400,,0
319,1,1003,风暴魔物,风暴中纯净的能量被风暴魔物吸收。,9000,0,0,5319,50519,180,,0
320,1,1093,风暴魔物,吸收了纯净能量的魔物变得非常难缠。,9000,0,0,5320,50520,5400,,0
321,4,1004,风暴中心,你被风暴向中心扯动，忽然，能量的波动消失了。,9000,0,0,0,50521,5400,,0
322,0,1002,沉重的脚步,你打败了剩下的魔物，开始休息。,9000,0,0,0,50522,180,,0
323,4,1094,短暂休整,短暂的休整，让你喘了口气，你开始思考一切。,9000,0,0,0,50523,5400,,0
324,0,1074,风暴之眼,风暴中心的能量开始凝结，形成了风暴之眼。,9000,0,0,0,50524,5400,,0
325,1,1075,末日哨兵,末日收割者中低阶的末日哨兵从天而降。末日之战终于进入到决战阶段。,9000,0,0,5325,50525,180,,0
326,1,1076,末日之主,末日之主降临，你感受到前所未有的挑战。,9000,0,0,5326,50526,5400,,0
327,0,1077,末日小径,末日军团源源不绝，你决定破话他们的后勤补给，一番观察之后，你且战且退。,9000,0,0,0,50527,5400,,0
328,1,1079,末日士兵,末日基地中的哨兵发现了你。,9000,0,0,5328,50528,180,,0
329,1,1095,末日领主,糟糕，你遇到了末日领主。,9000,0,0,5329,50529,5400,,0
330,4,1002,火焰之路,这只是末日大军中小小的一个站点。你觉得沿着蜿蜒的火焰之路继续前行。,9000,0,0,0,50530,5400,,0
331,4,1001,险象环生,火焰平原布满了末日军团，硬拼不是上策，你决定绕行，险象环生。,9000,0,0,0,50531,180,,0
332,1,1096,且战且退,不可避免的遭遇到了末日军团。,9000,0,0,5332,50532,5400,,0
333,0,1047,火焰洞穴,一个洞穴出现在你的视野中，你稍作考虑便闪身进入。,9000,0,0,0,50533,5400,,0
334,4,1081,矿洞秘宝,火焰矿洞中堆积着末日军团夺来的纯净能量本源。,9000,0,0,0,50534,180,,0
335,1,1083,矿洞主人,矿洞中一个巨人愤怒地向你杀来。,9000,0,0,5335,50535,5400,,0
336,4,1007,矿洞密道,打倒了巨人，吸引了末日军团的主意，你发现了一条密道，看来是时候华丽地撤退了。,9000,0,0,0,50536,5400,,0
337,1,1084,决战前夕,这里的资源被洗劫一空，末日军团更加强大。,9000,0,0,5337,50537,180,,0
338,1,1085,末日巡逻队,末日巡逻队发现了你。向发现了迷途的羔羊冲了过来。,9000,0,0,5338,50538,5400,,0
339,1,1087,以太前哨,沿着巡逻队来时的方向前行，你发现了一个哨岗。,9000,0,0,5339,50539,5400,,0
340,1,1088,末日大军,哨岗中的末日大军发现了你。,9000,0,0,5340,50540,180,,0
341,4,1002,希望的火种,你发现了哨岗中的希望火种。,9000,0,0,0,50541,5400,,0
342,0,1089,末日山脊,一个计划在你脑海中浮现，但时机未到，你决定暂时撤退。,9000,0,0,0,50542,5400,,0
343,0,1090,秘密基地,你沿着通道来到末日山脊，山顶处有一座末日军团的秘密基地。,9000,0,0,0,50543,180,,0
344,1,1007,恶魔苏醒,基地中，一个强大的恶魔正在苏醒。,9000,0,0,5344,50544,5400,,0
345,4,1004,末日要塞,击败恶魔，祭坛背后出现一条通道。,9000,0,0,0,50545,5400,,0
346,0,1091,女神降临,终于找到了，这是击败末日军团的关键。,9000,0,0,0,50546,180,,0
347,1,1092,最终之战,末日军团长出现在你的面前。,9000,0,0,5347,50547,5400,,0
348,0,1093,宿命决战,末日军团失去了最高指挥，局势将会得到缓解。,9000,0,0,0,50548,5400,,0
349,1,1094,灵感,灵感女神与你联系，预警接下来的战斗将会非常关键。,9000,0,0,5349,50549,180,,0
350,1,1074,宿命决战,女神的联系忽然终止，邪恶的冒险者再次出现在你的面前，看来最终之战在所难免。,9000,0,0,5350,50550,5400,,0
351,1,1075,时间枷锁,一阵黑烟飘过，幕后黑手终于灰飞烟灭。,9000,0,0,5351,50551,5400,,0
352,0,1076,身陷漩涡,你被牵扯进时间的漩涡。,9000,0,0,0,50552,180,,0
353,1,1004,漩涡怪物,漩涡中充斥着各个纪元强横的怪物，不得挣脱。,9000,0,0,5353,50553,5400,,0
354,0,1002,打破枷锁,你回忆起试炼之地的训练，展开灵感领域，漩涡的流速瞬间降低。,9000,0,0,0,50554,5400,,0
355,0,1077,不祥的预感,尽管即将赢得末日之战，但邪恶的气息却越来越浓。,9000,0,0,0,50555,180,,0
356,1,1079,魔化末日领主,魔化了的末日领主再次降临。,9000,0,0,5356,50556,5400,,0
357,4,1095,灭世之光,魔化末日领主缠住了你太多时间，灭世之光已经引燃，功亏一篑。,9000,0,0,0,50557,5400,,0
358,0,1096,混沌的虚无,你陷入了永恒的混沌与虚无之中。,9000,0,0,0,50558,180,,0
359,1,1047,纪元凶兽,不断涌出的纪元凶兽是你唯一存活着的证明。,9000,0,0,5359,50559,5400,,0
360,0,1007,纪元终结,灵魂中有一个声音不断地刺激着你，灵感位面被收割，第一纪元终结。,9000,0,0,0,50560,5400,,0
